iteration,walltime,max_on_path_regret,nash_conv
0,0.031358957290649414,0.5746542158518899,1.149247631101769
100,0.3200702667236328,0.008224894102431435,0.01644918621869884
200,0.606806755065918,0.004139244950916776,0.008278187411274729
300,0.8913674354553223,0.0027655006653901637,0.00553079933543188
400,1.1780920028686523,0.002076383954751293,0.004152616287051103
500,1.463409185409546,0.0016621930065277013,0.0033242646545694754
600,1.7475478649139404,0.0013857647053967526,0.0027714282450759242
700,2.0346057415008545,0.0011881682940764193,0.002376249854050272
800,2.319960832595825,0.0010398901784771653,0.0020797044510789675
900,2.6060991287231445,0.0009245148366687772,0.0018489621920991794
999,2.8895411491394043,0.0008330162845400224,0.0016659717684692765
