iteration,walltime
0,3.0413172245025635
100,9.077154397964478
200,13.700665712356567
300,18.323813438415527
400,22.942792654037476
500,27.55927276611328
600,32.181267499923706
700,36.804320335388184
800,41.43482279777527
900,46.05022597312927
1000,50.66881847381592
1100,55.28792190551758
1200,59.90693759918213
1300,64.52646255493164
1400,69.15082955360413
1500,73.76587224006653
1600,78.38278770446777
1700,83.00558161735535
1800,87.62514567375183
1900,92.24124026298523
2000,96.86383175849915
2100,101.49114394187927
2200,106.11906337738037
2300,110.74755883216858
2400,115.37292432785034
2500,120.00420355796814
2600,124.63205862045288
2700,129.26207304000854
2800,133.8899188041687
2900,138.52865505218506
3000,143.16003012657166
3100,147.77691769599915
3200,152.38836097717285
3300,157.0007905960083
3400,161.63032007217407
3500,166.2432746887207
3600,170.86249423027039
3700,175.4816620349884
3800,180.102698802948
3900,184.74290132522583
4000,189.37218832969666
4100,193.98860001564026
4200,198.59859561920166
4300,203.21318435668945
4400,207.82851839065552
4500,212.49050569534302
4600,217.13495111465454
4700,221.76997327804565
4800,226.39382219314575
4900,231.0247142314911
4999,235.6170151233673
